v1, v2, dup lines, len_v1, len_v2, measure
1.0.3, 1.11.3, 98, 6606, 21975, 0.003428851334802841
1.0.3, 1.12.0, 20, 6606, 9521, 0.0012401562596887207
1.0.3, 1.12.1, 20, 6606, 9520, 0.0012402331638348009
1.0.3, 1.12.2, 20, 6606, 9507, 0.0012412337863836654
1.0.3, 1.12.3, 20, 6606, 9500, 0.0012417732522041476
1.0.3, 1.12.4, 20, 6606, 9494, 0.0012422360248447205
1.0.3, 1.2, 98, 6606, 2966, 0.010238194734642709
1.0.3, 1.2.1, 98, 6606, 2993, 0.010209396812167934
1.0.3, 1.2.2, 0, 6606, 3383, 0.0
1.0.3, 1.2.3, 0, 6606, 3408, 0.0
1.0.3, 1.2.4, 0, 6606, 3546, 0.0
1.0.3, 1.2.5, 0, 6606, 3546, 0.0
1.0.3, 1.2.6, 0, 6606, 3551, 0.0
1.0.3, 1.3, 14, 6606, 4243, 0.0012904415153470366
1.0.3, 1.3.0, 14, 6606, 4243, 0.0012904415153470366
1.0.3, 1.3.1, 14, 6606, 4243, 0.0012904415153470366
1.0.3, 1.3.2, 36, 6606, 4377, 0.0032777929527451517
1.0.3, 1.4, 33, 6606, 4949, 0.0028559065339679793
1.0.3, 1.4.0, 33, 6606, 4949, 0.0028559065339679793
1.0.3, 1.4.1, 33, 6606, 5024, 0.002837489251934652
1.0.3, 1.4.2, 33, 6606, 5184, 0.0027989821882951653
1.0.3, 1.4.3, 0, 6606, 5729, 0.0
1.0.3, 1.4.4, 0, 6606, 5863, 0.0
1.0.3, 1.5, 0, 6606, 6801, 0.0
1.0.3, 1.5.0, 0, 6606, 6801, 0.0
1.0.3, 1.5.1, 0, 6606, 6931, 0.0
1.0.3, 1.5.2, 0, 6606, 6975, 0.0
1.0.3, 1.6, 0, 6606, 7460, 0.0
1.0.3, 1.6.0, 0, 6606, 7460, 0.0
1.0.3, 1.6.1, 0, 6606, 7525, 0.0
1.0.3, 1.6.2, 19, 6606, 7571, 0.001340198913733512
1.0.3, 1.6.3, 19, 6606, 7633, 0.00133436336821406
1.0.3, 1.6.4, 19, 6606, 7635, 0.0013341759707885682
1.0.3, 1.7, 19, 6606, 7860, 0.001313424581777962
1.0.3, 1.7.0, 19, 6606, 7860, 0.001313424581777962
1.0.3, 1.7.1, 19, 6606, 7826, 0.001316518847006652
1.0.3, 1.7.2, 19, 6606, 7960, 0.0013044075243718249
1.0.3, 1.8.0, 18, 6606, 7767, 0.0012523481527864746
1.0.3, 1.8.1, 18, 6606, 7772, 0.0012519126443177077
1.0.3, 1.8.2, 18, 6606, 7776, 0.0012515644555694619
1.0.3, 1.8.3, 18, 6606, 7790, 0.0012503473186996387
